time,ECI_X,ECI_Y,ECI_Z,Vx,Vy,Vz,v,r,E,a,n,T,h,h_x,h_y,h_z,e,e_x,e_y,e_z,p,ra,rp,b,f,E_anom,M,gamma,i,laan,omega,lat,lon,alt
0.0000000000e+00,7.0000000000e+03,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,6.3100000000e+00,0.0000000000e+00,6.3100000000e+00,7.0000001429e+03,-3.7011634553e+01,5.3826020495e+03,1.5984235080e-03,3.9308639268e+03,4.4170000451e+04,-6.3100000000e+00,0.0000000000e+00,4.4170000000e+04,3.0048631586e-01,-3.0048627883e-01,-1.4285713994e-04,-4.2926611262e-05,4.8965960052e+03,7.0000003091e+03,3.7652037899e+03,5.1338511562e+03,3.1412600909e+00,3.1411392048e+00,3.1410029496e+00,1.4285714007e-04,1.4285714105e-04,1.5707963268e+00,4.7128644002e+00,1.3937240633e-04,4.3181242589e+00,7.2200014129e+02
1.0000000000e-02,6.9999999996e+03,1.0630999999e+00,9.9999999994e-01,-8.1411939089e-05,6.3099999880e+00,-1.1658307727e-08,6.3099999885e+00,7.0000001517e+03,-3.7011634553e+01,5.3826020495e+03,1.5984235080e-03,3.9308639268e+03,4.4170000451e+04,-6.3100000000e+00,1.9621500018e-07,4.4170000000e+04,3.0048631585e-01,-3.0048627884e-01,-1.4284626395e-04,-4.2926611262e-05,4.8965960052e+03,7.0000003091e+03,3.7652037900e+03,5.1338511562e+03,3.1412691414e+00,3.1411515451e+00,3.1410189980e+00,1.3896937474e-04,1.4285714105e-04,1.5707963579e+00,4.7128643951e+00,1.3937240614e-04,4.3181325426e+00,7.2200015019e+02
5.5000000000e-02,6.9999999877e+03,1.3470499980e+00,9.9999999824e-01,-4.4776566107e-04,6.3099999249e+00,-6.4120691937e-08,6.3099999408e+00,7.0000001887e+03,-3.7011634553e+01,5.3826020495e+03,1.5984235080e-03,3.9308639267e+03,4.4170000451e+04,-6.3100000002e+00,1.0791824851e-06,4.4170000000e+04,3.0048631584e-01,-3.0048627884e-01,-1.4279732196e-04,-4.2926611261e-05,4.8965960052e+03,7.0000003090e+03,3.7652037900e+03,5.1338511561e+03,3.1413098686e+00,3.1412070765e+00,3.1410912159e+00,1.2147443249e-04,1.4285714261e-04,1.5707964978e+00,4.7128643721e+00,1.3937240517e-04,4.3181698269e+00,7.2200018716e+02
2.5750000000e-01,6.9999997301e+03,2.6248249406e+00,9.9999996135e-01,-2.0963573287e-03,6.3099994572e+00,-3.0020140921e-07,6.3099998055e+00,7.0000002936e+03,-3.7011634554e+01,5.3826020493e+03,1.5984235081e-03,3.9308639265e+03,4.4170000451e+04,-6.3100000013e+00,5.0525358200e-06,4.4170000000e+04,3.0048631580e-01,-3.0048627891e-01,-1.4257708305e-04,-4.2926611265e-05,4.8965960052e+03,7.0000003085e+03,3.7652037901e+03,5.1338511561e+03,3.1414931408e+00,3.1414569680e+00,3.1414161963e+00,4.2747180480e-05,1.4285714261e-04,1.5707971275e+00,4.7128642689e+00,1.3937239794e-04,4.3183375972e+00,7.2200029208e+02
1.1687500000e+00,6.9999944397e+03,8.3748097530e+00,9.9999920375e-01,-9.5150180096e-03,6.3099936285e+00,-1.3625643752e-06,6.3100008024e+00,6.9999995209e+03,-3.7011634547e+01,5.3826020504e+03,1.5984235076e-03,3.9308639278e+03,4.4170000451e+04,-6.3100000154e+00,2.2932616581e-05,4.4170000000e+04,3.0048631611e-01,-3.0048627968e-01,-1.4158600816e-04,-4.2926611414e-05,4.8965960052e+03,7.0000003116e+03,3.7652037892e+03,5.1338511566e+03,3.1423178658e+00,-3.1406038276e+00,-3.1403066990e+00,-3.1152541912e-04,1.4285714261e-04,1.5707999611e+00,4.7128638043e+00,1.3937230774e-04,4.3190925753e+00,7.2199951935e+02
5.2693750000e+00,6.9998869746e+03,3.4249561148e+01,9.9998381460e-01,-4.2898938036e-02,6.3098919869e+00,-6.1431900895e-06,6.3100378133e+00,6.9999708349e+03,-3.7011634265e+01,5.3826020914e+03,1.5984234893e-03,3.9308639726e+03,4.4170000451e+04,-6.3100002603e+00,1.0339259071e-04,4.4170000000e+04,3.0048632762e-01,-3.0048629326e-01,-1.3712616363e-04,-4.2926614773e-05,4.8965960052e+03,7.0000004268e+03,3.7652037559e+03,5.1338511761e+03,3.1460291405e+00,-3.1355435171e+00,-3.1337258454e+00,-1.9057412162e-03,1.4285714727e-04,1.5708127123e+00,4.7128617133e+00,1.3937073405e-04,4.3224899873e+00,7.2197083338e+02
1.0672992020e+01,6.9995363082e+03,6.8345026335e+01,9.9993359866e-01,-8.6890535666e-02,6.3095695943e+00,-1.2442850395e-05,6.3101678607e+00,6.9998700397e+03,-3.7011633276e+01,5.3826022352e+03,1.5984234253e-03,3.9308641301e+03,4.4170000451e+04,-6.3100010373e+00,2.0941710163e-04,4.4170000000e+04,3.0048636806e-01,-3.0048633633e-01,-1.3124910759e-04,-4.2926625911e-05,4.8965960052e+03,7.0000008316e+03,3.7652036388e+03,5.1338512447e+03,3.1509197763e+00,-3.1288752107e+00,-3.1250538955e+00,-4.0064483343e-03,1.4285716592e-04,1.5708295149e+00,4.7128589574e+00,1.3936574209e-04,4.3269670255e+00,7.2187003811e+02
1.6859757146e+01,6.9988429326e+03,1.0737904047e+02,9.9983430628e-01,-1.3725738419e-01,6.3089373285e+00,-1.9655455298e-05,6.3104302393e+00,6.9996666816e+03,-3.7011631281e+01,5.3826025254e+03,1.5984232960e-03,3.9308644480e+03,4.4170000451e+04,-6.3100025611e+00,3.3080289306e-04,4.4170000000e+04,3.0048644967e-01,-3.0048642080e-01,-1.2452006165e-04,-4.2926648034e-05,4.8965960052e+03,7.0000016482e+03,3.7652034025e+03,5.1338513831e+03,3.1565194538e+00,-3.1212402999e+00,-3.1151251155e+00,-6.4113962648e-03,1.4285720012e-04,1.5708487520e+00,4.7128558005e+00,1.3935595174e-04,4.3320931628e+00,7.2166668004e+02
2.3624767003e+01,6.9977280979e+03,1.5005582677e+02,9.9967466035e-01,-1.9233094706e-01,6.3079243725e+00,-2.7542067433e-05,6.3108558122e+00,6.9993368459e+03,-3.7011628044e+01,5.3826029961e+03,1.5984230863e-03,3.9308649637e+03,4.4170000451e+04,-6.3100050022e+00,4.6352497340e-04,4.4170000000e+04,3.0048658205e-01,-3.0048655615e-01,-1.1716163879e-04,-4.2926683679e-05,4.8965960052e+03,7.0000029729e+03,3.7652030192e+03,5.1338516076e+03,3.1626429675e+00,-3.1128914763e+00,-3.1042683416e+00,-9.0407065639e-03,1.4285725530e-04,1.5708697855e+00,4.7128523455e+00,1.3934026638e-04,4.3376988763e+00,7.2133684437e+02
3.0854790103e+01,6.9961247676e+03,1.9565724051e+02,9.9944506116e-01,-2.5118890902e-01,6.3064703013e+00,-3.5970609264e-05,6.3114707898e+00,6.9988602300e+03,-3.7011623366e+01,5.3826036765e+03,1.5984227833e-03,3.9308657090e+03,4.4170000451e+04,-6.3100085061e+00,6.0535584215e-04,4.4170000000e+04,3.0048677339e-01,-3.0048675045e-01,-1.0929667727e-04,-4.2926735004e-05,4.8965960052e+03,7.0000048877e+03,3.7652024653e+03,5.1338519320e+03,3.1691881503e+00,-3.1039682569e+00,-3.0926652905e+00,-1.1850076981e-02,1.4285733534e-04,1.5708922626e+00,4.7128486483e+00,1.3931775032e-04,4.3436906639e+00,7.2086022843e+02
