time,ECI_X,ECI_Y,ECI_Z,Vx,Vy,Vz,v,r,E,a,n,T,h,h_x,h_y,h_z,e,e_x,e_y,e_z,p,ra,rp,b,f,E_anom,M,gamma,i,laan,omega
0.0000000000e+00,1.0000000000e+04,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,6.3100000000e+00,0.0000000000e+00,6.3100000000e+00,1.0000000100e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000315e+04,-6.3100000000e+00,0.0000000000e+00,6.3100000000e+04,7.0186362213e-04,-6.9470320241e-04,-9.9999999000e-05,-6.9470320241e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,2.9987283276e+00,2.9986283623e+00,2.9985283624e+00,9.9999999167e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
1.0000000000e-02,9.9999999998e+03,1.0631000000e+00,9.9999999998e-01,-3.9843778767e-05,6.3099999959e+00,-3.9843778767e-09,6.3099999960e+00,1.0000000106e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000315e+04,-6.3100000000e+00,1.3552527156e-20,6.3100000000e+04,7.0186362213e-04,-6.9470320241e-04,-9.9999999000e-05,-6.9470320241e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,2.9987346376e+00,2.9986346767e+00,2.9985346811e+00,9.9995612541e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
5.5000000000e-02,9.9999999940e+03,1.3470499993e+00,9.9999999940e-01,-2.1914078224e-04,6.3099999743e+00,-2.1914078224e-08,6.3099999781e+00,1.0000000135e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-2.7105054312e-20,6.3100000000e+04,7.0186362213e-04,-6.9470320241e-04,-9.9999999000e-05,-6.9470320241e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,2.9987630326e+00,2.9986630915e+00,2.9985631156e+00,9.9975872671e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
2.5750000000e-01,9.9999998679e+03,2.6248249796e+00,9.9999998679e-01,-1.0259772747e-03,6.3099998141e+00,-1.0259772747e-07,6.3099998975e+00,1.0000000262e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,2.1684043450e-19,6.3100000000e+04,7.0186362213e-04,-6.9470320241e-04,-9.9999999000e-05,-6.9470320241e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,2.9988908101e+00,2.9987909577e+00,2.9986910707e+00,9.9887042263e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
1.1687500000e+00,9.9999972787e+03,8.3748115589e+00,9.9999972787e-01,-4.6567407111e-03,6.3099978172e+00,-4.6567407111e-07,6.3099995355e+00,1.0000000836e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000315e+04,-6.3100000000e+00,-8.6736173799e-19,6.3100000000e+04,7.0186362213e-04,-6.9470320241e-04,-9.9999999000e-05,-6.9470320241e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,2.9994658088e+00,2.9993663561e+00,2.9992668688e+00,9.9487285254e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
5.2693750000e+00,9.9999446843e+03,3.4249689411e+01,9.9999446843e-01,-2.0995132091e-02,6.3099629963e+00,-2.0995132091e-06,6.3099979248e+00,1.0000003387e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000315e+04,-6.3100000000e+00,-6.9388939039e-18,6.3100000000e+04,7.0186362213e-04,-6.9470320241e-04,-9.9999999000e-05,-6.9470320241e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.0020533021e+00,3.0019556481e+00,3.0018579601e+00,9.7687973278e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
1.2891580541e+01,9.9996689145e+03,8.2344942357e+01,9.9996689145e-01,-5.1364299987e-02,6.3097859488e+00,-5.1364299987e-06,6.3099950088e+00,1.0000008004e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000315e+04,-6.3100000000e+00,-2.0816681712e-17,6.3100000000e+04,7.0186362213e-04,-6.9470320241e-04,-9.9999999000e-05,-6.9470320241e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.0068629083e+00,3.0067685994e+00,3.0066742577e+00,9.4341698302e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
2.1945367966e+01,9.9990405801e+03,1.3947074737e+02,9.9990405801e-01,-8.7435666555e-02,6.3093858633e+00,-8.7435666555e-06,6.3099916773e+00,1.0000013281e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000315e+04,-6.3100000000e+00,-1.3877787808e-17,6.3100000000e+04,7.0186362213e-04,-6.9470320241e-04,-9.9999999000e-05,-6.9470320241e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.0125758360e+00,3.0124855034e+00,3.0123951393e+00,9.0364103758e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
3.1995654104e+01,9.9979606259e+03,2.0287864880e+02,9.9979606259e-01,-1.2747374224e-01,6.3087004100e+00,-1.2747374224e-05,6.3099881472e+00,1.0000018871e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000315e+04,-6.3100000000e+00,0.0000000000e+00,6.3100000000e+04,7.0186362213e-04,-6.9470320241e-04,-9.9999999000e-05,-6.9470320241e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.0189175462e+00,3.0188316309e+00,3.0187456856e+00,8.5945267227e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
4.2823571021e+01,9.9963468398e+03,2.7118346223e+02,9.9963468398e-01,-1.7060386311e-01,6.3076778011e+00,-1.7060386311e-05,6.3099845421e+00,1.0000024580e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000315e+04,-6.3100000000e+00,2.7755575616e-17,6.3100000000e+04,7.0186362213e-04,-6.9470320241e-04,-9.9999999000e-05,-6.9470320241e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.0257499321e+00,3.0256687797e+00,3.0255875991e+00,8.1180662130e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
